"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "TOML", "JavaScript", "HTML", "JSON", "PostCSS", "SCSS", "XML", "vue", "YAML", "comment", "blank", "total"
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\CharacterViewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 14, 135
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\DialogCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\NaCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\StoryCardContainer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 5, 71
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\TitleCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\VisualEditor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 11, 113
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\VisualEditorCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\WaitCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\composables\dark.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\composables\story.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\composables\utils.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\main.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\modules\README.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\modules\i18n.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 10, 52
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\modules\nprogress.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 15
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\modules\pinia.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 16
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\pages\Editor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 7, 104
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\pages\Preview.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\pages\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\pages\VisualEditorPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\shims.d.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 19
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\stores\app.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 81
